Category,Item,Budgeted (£),Actual (£),Variance (£),Notes
Venue,Riverside Pavilion hire,4500,4500,0,Deposit paid
Venue,AV equipment & setup,1200,1150,50,Malik confirmed
Venue,Furniture & staging,600,620,-20,Extra tables added
Catering,Three-course dinner (250 pax),9000,8750,250,Final invoice pending
Catering,Welcome drinks & canapés,1800,1800,0,
Catering,Bar staff (5 hrs),600,600,0,
Entertainment,Live band,2200,2200,0,Signed contract
Entertainment,MC / host,500,500,0,
Entertainment,Lighting & effects,800,750,50,
Print & design,Printed programme (250 copies),350,320,30,
Print & design,Table centrepieces & signage,480,510,-30,
Marketing,Social media promotion,200,180,20,
Marketing,Email campaign,0,0,0,In-house
Staffing,Event volunteers (34 × expenses),680,640,40,
Staffing,Security (2 × 6 hrs),360,360,0,
Miscellaneous,Contingency,500,120,380,
Totals,,23770,23000,770,
